gender,PhoneService,MultipleLines,InternetService,StreamingTV,StreamingMovies,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,1,2,1,2,2,2,92.4,6786.1,0
0,0,1,1,0,0,1,45.3,3139.8,0
0,1,2,2,2,2,2,94.8,1563.9,0
1,1,0,2,0,0,0,69.9,515.5,0
1,1,0,0,1,1,1,20.1,221.4,1
1,1,2,2,0,0,1,74.9,147.2,1
1,1,0,2,2,2,2,109.9,7624.2,0
0,1,2,2,0,0,3,78.0,851.8,0
0,1,0,2,2,2,2,91.4,449.8,1
0,1,2,2,0,0,2,75.0,308.7,1
0,1,0,1,0,0,3,50.0,1474.9,0
1,1,0,0,1,1,1,20.9,202.3,0
0,0,1,1,2,2,3,49.8,836.4,0
1,0,1,1,2,2,2,56.3,1766.0,0
1,0,1,1,0,0,2,30.4,78.7,1
0,1,0,0,1,1,0,19.1,1001.5,0
1,1,0,1,0,0,1,59.9,287.9,0
1,1,0,0,1,1,3,20.0,196.4,0
1,1,0,2,0,2,2,79.6,79.6,1
1,1,0,0,1,1,0,19.5,1303.5,0
0,1,2,2,0,0,3,74.9,156.4,1
1,1,2,2,0,0,2,73.9,511.3,1
0,1,0,0,1,1,3,20.2,684.4,0
1,1,2,1,0,0,1,71.1,4299.2,0
1,1,2,2,2,2,0,109.2,7711.5,0
0,1,0,1,0,0,1,62.7,4375.8,0
0,1,0,1,2,0,1,59.5,1507.0,0
1,1,0,1,0,0,2,45.1,523.1,0
0,1,2,1,2,0,2,60.4,1404.7,0
0,1,2,2,2,2,0,115.0,8196.4,0
0,1,2,2,2,2,2,114.6,7882.5,0
0,1,0,1,0,0,3,50.2,50.2,1
0,1,2,2,0,0,1,86.7,2208.8,0
1,1,0,1,2,2,3,65.7,134.4,1
1,1,0,0,1,1,3,19.9,543.0,0
1,1,0,0,1,1,3,19.9,119.3,0
1,0,1,1,2,2,3,59.8,3624.4,0
1,0,1,1,0,2,2,45.0,1228.7,0
0,1,2,1,0,2,0,71.4,1212.1,0
0,1,2,2,2,2,2,101.0,4388.4,1
0,1,0,1,2,2,3,75.4,3865.5,0
1,1,2,2,2,2,0,118.8,8672.5,0
0,1,0,0,1,1,3,19.5,1378.5,0
0,1,0,0,1,1,1,20.4,1414.5,0
1,1,2,2,0,2,2,84.5,3906.7,0
0,1,0,2,0,2,1,83.8,4331.4,0
0,1,0,0,1,1,3,20.4,33.2,1
0,1,0,2,2,2,1,109.3,7782.9,0
0,1,2,2,0,2,1,89.4,4869.5,0
1,1,0,1,2,2,0,76.5,1155.6,0
0,0,1,1,0,0,3,24.6,190.1,0
0,1,2,2,2,2,1,105.1,5163.3,0
0,1,2,2,0,2,2,83.7,1465.8,1
1,1,2,2,2,2,0,104.5,7349.4,0
1,1,2,2,2,2,0,106.9,7677.4,0
0,1,2,2,2,2,0,105.1,5376.4,0
1,1,0,1,0,0,2,46.3,639.5,0
1,1,2,1,2,2,0,76.8,5468.5,0
0,1,2,2,0,0,2,81.4,233.7,1
0,1,0,2,2,2,0,99.2,5721.0,0
1,1,0,0,1,1,3,20.4,20.4,0
0,1,2,2,0,2,0,89.9,3161.2,0
1,1,2,2,2,0,0,84.4,4116.2,1
0,1,0,0,1,1,2,19.8,899.5,0
0,1,2,1,0,0,1,64.5,4720.0,0
1,1,2,1,2,0,1,69.0,2038.7,0
1,0,1,1,0,0,3,24.4,36.6,1
0,0,1,1,0,0,2,29.7,438.3,1
0,1,0,1,0,0,3,58.8,2203.1,0
0,1,0,1,2,2,0,75.4,5480.3,0
0,1,2,0,1,1,0,25.0,1738.9,0
0,1,2,2,2,2,1,114.3,8244.3,0
1,1,0,0,1,1,3,19.7,19.7,1
0,1,2,2,0,0,2,84.3,1968.1,0
1,1,2,2,0,0,1,74.6,548.9,0
0,1,0,1,0,0,1,46.0,84.5,1
1,0,1,1,0,0,1,38.9,1025.2,0
0,1,0,0,1,1,1,19.7,928.4,0
1,0,1,1,0,0,3,34.6,813.5,0
1,1,0,2,2,2,1,99.1,1426.4,1
0,1,0,1,0,0,3,50.2,2058.5,0
0,1,2,1,0,0,2,59.5,1611.7,0
1,1,0,0,1,1,0,19.5,805.2,0
0,1,0,2,2,2,1,112.2,5031.9,0
1,1,0,2,0,0,2,70.0,330.2,1
1,1,2,0,1,1,3,23.9,1672.1,0
0,1,0,1,0,2,2,54.3,195.3,1
1,1,0,0,1,1,3,20.2,746.1,0
0,1,0,1,0,0,3,55.9,157.6,0
0,1,0,0,1,1,3,19.2,343.5,0
0,1,2,1,2,2,1,90.2,6237.1,0
0,1,0,1,0,0,3,44.9,44.9,0
1,1,2,2,2,0,0,100.5,7030.7,0
0,1,2,2,2,0,2,91.2,3369.3,0
0,1,2,1,0,2,3,70.2,4480.7,0
1,1,0,2,2,0,2,90.0,3371.8,0
0,1,2,2,2,2,0,108.7,6938.0,1
1,1,0,1,0,0,2,49.5,1119.4,0
1,1,2,1,2,2,2,79.2,1742.8,1
1,1,0,1,0,2,3,60.7,1597.4,0
1,1,0,2,0,0,0,79.9,2015.4,1
1,1,0,2,2,2,2,97.2,5611.8,0
1,1,0,2,2,2,2,95.6,95.6,1
1,1,2,1,2,2,1,89.3,6388.7,0
1,1,2,2,0,2,2,85.3,2287.3,1
1,1,0,2,2,2,2,89.5,240.5,1
0,1,2,2,2,0,1,94.7,5430.4,0
1,1,0,2,0,0,2,75.4,1026.0,1
0,1,0,1,0,2,1,70.9,4973.4,0
1,0,1,1,0,0,0,29.1,44.8,0
1,1,0,0,1,1,0,20.6,827.3,0
0,1,2,0,1,1,0,25.4,1620.2,0
1,1,2,2,0,2,1,101.3,5779.6,0
1,1,2,2,0,0,2,87.3,3941.7,1
0,1,2,2,2,2,1,116.6,8152.3,0
0,1,2,2,2,2,2,107.7,7320.9,0
1,1,2,2,2,2,1,102.7,5138.1,0
1,1,2,2,2,2,2,115.2,8349.7,0
0,1,2,2,0,0,2,76.1,1712.7,1
0,1,0,1,0,0,0,60.4,3953.7,0
1,0,1,1,2,2,1,64.4,4539.6,0
0,1,0,0,1,1,1,19.6,426.7,0
0,0,1,1,2,2,2,49.4,3515.3,1
1,0,1,1,0,0,3,24.4,24.4,0
1,1,0,0,1,1,0,20.5,1501.0,0
0,1,2,2,2,2,3,110.6,7610.1,0
1,1,0,2,2,2,1,99.2,4062.2,1
1,1,0,2,0,2,2,85.0,1443.7,0
0,1,2,2,2,2,1,94.7,2104.6,1
0,0,1,1,0,0,3,39.1,2779.5,0
1,1,2,2,2,0,2,84.5,4959.2,0
1,1,0,0,1,1,0,19.7,1051.9,0
1,1,0,0,1,1,3,19.9,173.2,0
0,1,0,0,1,1,3,18.9,18.9,0
0,1,0,0,1,1,3,19.6,122.9,0
0,1,2,2,2,0,2,85.7,181.5,1
0,1,0,1,0,0,0,54.6,825.1,0
0,1,0,0,1,1,3,19.9,51.6,0
1,1,2,1,2,2,0,86.4,6059.0,0
1,0,1,1,0,0,3,34.7,246.6,0
1,0,1,1,0,0,3,24.9,434.8,0
1,1,0,2,0,2,2,78.1,1122.4,0
0,1,2,2,2,2,1,105.7,6903.1,1
1,1,2,1,2,0,0,78.4,1837.9,0
0,1,2,1,2,2,1,86.0,5931.8,0
0,1,0,0,1,1,0,19.4,1240.8,0
0,1,0,2,0,0,2,71.7,71.7,1
1,1,2,2,0,2,2,91.2,4862.5,0
1,1,0,1,0,0,2,56.3,389.1,1
1,1,0,2,2,2,2,95.8,5655.5,0
0,1,0,2,0,0,2,78.5,2435.2,1
0,1,2,2,0,0,2,74.4,229.6,1
1,1,0,2,0,0,0,69.0,994.8,1
0,1,2,2,2,2,1,106.1,5082.8,1
0,1,2,1,0,0,3,56.7,113.6,1
0,1,2,2,2,2,2,103.0,7101.5,1
1,1,2,2,2,0,2,91.4,193.6,1
0,1,2,2,2,2,1,110.9,5275.8,1
1,1,0,0,1,1,0,21.1,531.6,0
0,1,0,2,2,2,2,93.8,2939.8,0
1,1,2,2,2,2,2,111.1,6014.9,1
0,1,0,1,0,0,3,55.1,55.1,0
1,0,1,1,0,0,1,33.2,444.8,0
1,1,0,0,1,1,0,18.8,53.2,0
0,1,2,1,0,2,1,70.6,3420.5,0
1,1,2,2,0,0,2,74.5,74.5,1
0,1,2,1,0,0,0,65.2,4681.8,0
0,1,0,0,1,1,2,19.9,19.9,1
0,1,2,0,1,1,3,24.8,1424.2,0
0,1,0,0,1,1,3,20.1,33.7,0
1,1,2,1,2,2,0,80.6,5265.1,1
0,1,0,0,1,1,3,20.4,939.0,0
1,1,2,2,0,2,0,89.6,5538.8,0
0,1,0,1,0,0,3,45.1,45.1,1
1,0,1,1,2,2,3,49.3,255.6,0
1,1,0,1,0,0,0,50.6,244.8,0
1,1,2,1,2,0,2,72.3,2568.6,1
1,1,2,2,2,2,2,118.7,8477.6,0
1,1,0,1,0,2,1,66.5,2762.8,0
1,1,0,0,1,1,1,19.5,1208.6,0
0,1,0,1,0,0,1,49.8,49.8,0
0,1,0,2,0,0,2,69.9,69.9,1
0,1,2,2,0,2,1,107.2,7317.1,0
0,1,2,2,0,2,2,93.4,3092.0,0
1,1,0,0,1,1,2,20.0,417.7,0
0,1,2,0,1,1,0,24.5,343.6,0
1,1,0,1,0,0,2,56.1,1522.7,0
1,1,2,1,0,2,0,80.9,5824.8,0
0,1,0,2,0,0,2,70.5,597.9,0
1,1,2,2,2,2,1,107.5,7853.7,0
1,1,2,1,0,0,0,59.9,3103.3,0
1,1,2,1,0,0,0,60.9,2003.6,0
0,1,0,2,2,0,1,100.2,7209.0,0
1,1,0,0,1,1,1,19.7,116.9,0
1,1,0,1,0,2,2,64.0,1910.8,0
1,1,2,2,2,0,2,90.6,90.6,1
1,1,2,0,1,1,3,25.3,1211.7,0
1,1,0,0,1,1,0,20.3,538.2,0
1,1,0,2,2,2,2,93.5,4872.2,0
1,1,2,2,2,0,0,100.5,3653.4,1
0,1,0,2,2,2,2,95.7,167.3,1
1,0,1,1,2,2,2,44.0,2007.9,0
1,1,0,0,1,1,0,19.3,617.7,0
0,1,0,2,0,0,2,73.8,704.3,0
0,1,2,2,2,2,0,104.4,6692.7,0
1,1,0,2,0,0,2,79.3,1111.7,1
1,1,0,2,0,0,2,81.6,4509.5,0
1,1,2,2,0,2,2,93.8,4539.4,0
1,1,2,0,1,1,3,24.3,132.3,0
0,1,0,2,0,0,2,70.5,1471.0,1
1,1,2,0,1,1,1,25.6,514.8,0
0,1,2,2,2,2,2,99.0,5969.3,0
1,1,0,1,0,2,0,70.0,3871.9,0
0,1,2,2,0,0,3,76.0,1130.9,1
1,1,2,0,1,1,3,24.9,1595.5,0
1,1,2,1,0,2,2,64.8,1166.7,0
0,1,2,2,2,2,2,103.1,5364.8,0
0,1,0,0,1,1,3,20.1,279.5,0
1,1,0,0,1,1,3,19.9,550.1,0
1,1,2,2,2,2,1,110.7,6526.7,0
1,1,2,2,2,2,0,109.1,7508.6,0
0,1,0,0,1,1,2,19.2,19.2,0
1,1,2,1,0,0,1,66.1,3462.1,0
1,1,0,1,0,0,3,45.3,45.3,0
1,1,2,1,2,2,1,84.4,6096.5,0
1,0,1,1,2,2,1,45.0,298.7,0
1,1,2,2,2,2,2,99.8,5985.8,0
0,1,2,2,2,2,2,106.0,6547.7,1
1,1,0,0,1,1,3,20.7,38.7,1
0,1,2,1,0,0,2,71.5,4576.3,0
1,1,0,2,2,0,2,83.6,1329.2,0
0,1,2,2,2,2,2,98.7,5812.6,1
1,1,2,1,0,0,3,49.5,1265.7,0
1,0,1,1,0,2,0,48.7,2495.2,0
1,1,0,0,1,1,1,19.2,532.1,0
1,1,0,2,0,0,2,82.3,82.3,1
1,1,0,0,1,1,1,21.1,490.7,0
1,1,0,1,2,2,1,69.0,147.8,0
0,1,0,0,1,1,3,19.6,19.6,1
1,1,2,1,0,2,3,75.1,5064.5,0
0,0,1,1,2,2,2,54.6,934.8,0
0,1,0,2,0,0,2,70.2,760.1,0
0,1,2,0,1,1,3,24.8,1234.6,0
1,1,0,2,0,0,2,69.9,199.9,0
1,1,0,2,2,0,2,79.2,79.2,1
1,1,0,2,0,0,2,69.7,69.7,1
1,1,2,1,2,2,1,84.1,6129.7,0
0,1,0,1,0,2,0,65.4,1231.9,0
0,1,2,0,1,1,3,25.8,1654.8,0
1,1,0,2,2,2,2,100.3,4484.0,0
0,1,2,2,0,2,2,89.2,413.3,0
1,0,1,1,2,2,1,44.9,2565.0,0
1,1,2,2,0,0,2,74.5,294.5,0
1,1,2,1,2,2,1,86.4,5442.1,0
1,1,0,0,1,1,0,19.7,804.3,0
1,1,0,1,0,0,2,60.6,1982.6,0
1,0,1,1,0,0,3,25.2,25.2,1
1,1,2,2,0,0,2,79.4,205.1,1
0,1,2,0,1,1,0,25.0,1501.8,0
0,1,2,2,0,0,2,73.7,73.7,1
1,1,0,1,0,0,1,55.6,2016.5,0
1,1,2,2,2,2,1,113.3,7895.2,0
1,1,0,1,0,2,3,68.3,4378.8,0
0,1,2,2,2,2,1,110.1,5686.4,0
0,1,0,0,1,1,0,19.9,329.8,0
1,0,1,1,0,2,1,44.0,2960.1,0
0,0,1,1,0,0,3,31.4,31.4,1
1,1,0,1,0,2,3,64.9,1336.8,0
1,1,2,2,2,2,0,97.2,5129.5,0
0,0,1,1,0,0,2,23.5,23.5,1
0,1,0,2,0,0,2,70.2,238.0,1
0,1,2,1,0,0,0,61.9, ,0
0,1,0,2,0,0,2,69.6,521.4,0
0,1,0,0,1,1,3,19.0,614.0,0
0,1,0,0,1,1,1,19.8,1414.7,0
0,0,1,1,2,0,2,39.7,733.4,1
0,1,0,0,1,1,0,20.0,219.5,0
0,1,0,2,0,0,2,69.1,1474.8,1
1,1,2,1,0,2,2,70.1,3062.5,0
0,1,0,0,1,1,1,19.8,587.7,0
1,1,2,2,2,2,0,105.8,4228.6,0
1,0,1,1,0,0,3,41.9,1875.3,0
1,0,1,1,0,2,3,53.1,1901.3,0
1,1,2,2,2,0,1,105.1,7234.8,0
1,1,0,1,2,2,1,80.7,5705.1,0
1,1,2,0,1,1,0,24.7,1710.2,0
0,0,1,1,2,2,1,53.2,1930.9,0
0,1,0,1,0,2,3,54.7,189.1,0
0,1,2,2,2,2,1,109.7,7898.5,0
0,1,2,1,2,2,1,90.6,6441.9,0
1,1,2,1,2,0,1,73.0,5163.0,0
1,0,1,1,0,2,2,54.8,2348.5,0
0,1,0,0,1,1,0,20.5,429.6,0
1,1,0,2,2,2,2,92.1,730.0,1
0,1,0,2,0,0,2,75.3,720.5,0
1,1,2,2,2,2,1,106.8,7283.3,0
1,1,0,2,2,0,0,91.3,4126.4,0
1,1,0,2,0,0,2,80.0,241.3,0
1,1,2,2,2,0,2,91.3,1094.5,1
1,0,1,1,2,0,0,47.9,1190.5,0
0,1,0,1,0,0,3,50.2,160.9,0
1,1,0,1,2,2,0,74.5,3721.9,0
0,1,0,2,0,0,0,80.6,2651.1,0
0,1,2,2,0,2,2,94.4,4014.6,0
0,1,2,1,0,2,0,75.3,2344.5,0
0,1,2,2,2,2,1,107.2,7379.8,0
0,1,2,2,2,2,2,116.3,7862.3,0
0,1,0,0,1,1,2,19.6,1108.8,0
0,1,0,0,1,1,3,20.1,655.3,0
0,1,0,0,1,1,0,20.2,20.2,0
1,1,0,2,0,0,1,74.8,2971.7,0
1,1,2,1,2,0,2,76.2,981.5,0
0,1,0,1,0,0,2,55.7,3171.6,0
1,1,0,2,0,0,2,75.3,75.3,1
0,1,0,1,0,0,3,45.7,45.7,1
1,1,0,1,0,0,1,54.4,2460.2,1
1,1,2,2,2,2,1,94.6,3640.5,1
0,1,2,1,2,0,3,77.5,1625.0,1
1,1,0,2,0,2,0,98.2,567.5,1
0,1,2,2,2,2,3,111.1,6555.2,0
0,1,2,1,0,0,1,58.6,939.7,1
1,1,2,2,2,2,3,94.6,2724.6,1
0,1,2,2,2,2,0,116.3,8309.6,0
1,1,2,2,0,2,1,89.3,4192.2,0
0,1,0,0,1,1,3,20.7,73.1,0
1,1,0,0,1,1,3,19.6,19.6,1
0,1,2,2,2,2,2,99.4,4749.2,1
0,1,0,1,0,0,2,49.8,1734.2,0
1,1,0,1,0,0,1,54.4,957.1,0
1,1,0,1,0,0,0,54.3,447.8,0
0,0,1,1,0,0,1,35.5,249.6,0
0,1,2,2,0,0,2,84.5,453.8,1
1,1,0,1,0,2,2,59.3,2209.2,0
0,1,0,0,1,1,3,20.7,654.9,0
1,1,0,1,2,0,3,55.2,55.2,1
0,0,1,1,0,0,1,25.0,789.2,0
0,0,1,1,0,0,3,24.3,38.5,0
0,1,0,1,2,0,1,70.8,4448.8,0
0,1,0,2,2,0,2,78.8,1641.3,0
1,1,2,1,2,2,1,83.3,5894.5,0
1,1,0,1,0,0,0,61.2,4017.5,0
0,1,0,1,0,0,3,45.2,438.4,1
1,1,2,2,2,2,2,96.0,174.8,1
0,0,1,1,0,0,3,35.1,101.1,0
1,1,0,0,1,1,1,20.3,1029.8,0
0,0,1,1,2,2,2,49.3,90.4,1
0,1,0,2,0,0,2,74.0,74.0,0
1,1,0,0,1,1,3,20.3,129.2,0
0,1,2,2,2,2,2,105.0,7297.8,0
0,1,2,2,2,2,2,105.3,550.6,0
1,1,0,0,1,1,3,19.6,1416.5,0
1,1,0,2,0,0,1,74.3,74.3,1
1,1,0,2,0,2,1,89.7,1208.4,1
1,1,0,0,1,1,1,19.4,601.6,0
0,1,0,1,2,2,1,81.8,4534.5,0
0,1,0,2,2,2,2,95.8,573.8,1
0,0,1,1,2,0,2,40.2,40.2,1
1,1,0,2,0,2,0,91.0,4236.6,0
0,1,0,2,2,2,0,108.2,2203.7,0
1,1,2,2,0,2,1,85.8,1727.5,1
1,1,2,2,0,0,2,76.3,2841.6,1
1,1,0,0,1,1,3,19.7,494.1,0
0,1,0,2,2,2,1,94.7,2649.2,1
1,1,2,2,2,2,0,104.4,2200.3,1
0,1,2,2,2,2,2,103.3,2012.7,1
1,1,0,1,2,2,2,80.6,4300.0,0
0,1,0,0,1,1,1,19.3,28.3,1
1,1,2,2,2,2,0,104.3,2867.8,1
0,0,1,1,2,2,0,60.8,2893.4,0
1,1,0,0,1,1,3,19.7,391.7,0
1,1,0,0,1,1,3,19.9,1070.5,0
1,1,0,1,2,0,2,56.2,2499.3,1
1,1,0,0,1,1,3,20.0,58.0,0
0,1,0,1,0,0,1,44.8,176.2,0
0,1,0,2,0,2,1,83.6,477.6,1
0,1,2,2,2,2,2,100.8,3437.5,0
1,0,1,1,2,2,1,60.3,4109.0,0
1,1,0,2,2,2,2,96.3,512.5,1
1,1,0,1,0,0,2,44.6,122.7,0
1,1,0,2,0,0,2,72.8,317.8,0
1,1,2,0,1,1,1,25.3,117.0,0
1,1,0,2,0,0,0,79.7,165.0,1
0,1,2,2,2,2,1,110.1,4469.1,0
0,1,0,2,2,2,1,95.1,865.1,0
0,1,2,2,0,0,2,80.5,2088.5,0
1,1,2,2,0,2,0,107.4,7748.8,0
1,1,0,2,2,2,1,99.3,2431.4,1
1,1,2,1,2,2,0,86.6,6350.5,0
1,1,0,1,0,0,2,52.2,52.2,1
1,1,2,2,2,0,2,88.4,1639.3,1
0,0,1,1,0,2,2,40.1,162.5,0
0,1,2,2,2,0,2,90.9,3186.7,1
1,1,2,2,0,0,2,75.3,888.7,0
0,1,0,2,0,0,2,69.6,69.6,1
0,1,2,2,0,0,2,79.9,3313.4,0
1,1,2,2,0,2,1,85.4,1375.2,1
0,1,2,2,2,2,1,114.4,5791.1,0
1,0,1,1,0,0,2,24.6,24.6,1
1,1,0,0,1,1,3,20.0,756.4,0
0,1,2,2,0,0,2,79.9,1857.8,0
0,1,2,1,0,2,0,59.7,1825.5,0
0,1,0,0,1,1,0,19.5,159.2,0
1,1,2,2,2,2,2,107.6,4533.9,1
1,1,0,1,2,0,1,70.4,4124.7,0
1,1,0,0,1,1,3,20.9,272.4,0
0,1,0,2,0,2,1,89.6,3488.2,0
0,1,0,0,1,1,3,19.7,436.9,0
1,1,2,1,2,2,1,83.6,5959.3,0
1,1,2,2,0,0,1,84.3,4589.9,0
0,1,2,2,2,2,0,111.5,5315.1,0
0,1,2,2,0,0,2,75.0,75.0,1
1,1,2,2,2,0,0,97.4,3457.9,1
0,1,0,1,2,2,2,69.4,712.3,0
1,1,2,2,2,0,2,84.6,84.6,0
1,1,2,2,2,2,1,98.4,5149.5,1
0,0,1,1,0,2,0,51.1,3635.2,0
0,1,0,2,2,2,2,95.7,1184.0,0
0,1,0,2,2,2,1,94.7,1914.9,1
1,1,0,2,0,0,1,69.1,3842.6,0
1,1,2,1,0,0,0,64.5,1867.6,0
1,1,0,0,1,1,3,19.9,1158.9,0
0,1,0,0,1,1,1,19.7,386.5,0
1,1,2,2,0,2,2,95.2,1789.3,1
0,1,0,1,2,0,0,72.5,2156.3,0
1,1,2,2,0,0,2,89.4,1132.4,1
0,1,0,0,1,1,3,20.2,20.2,1
0,1,0,2,0,0,3,70.7,70.7,1
1,1,0,2,0,0,2,73.6,1359.5,0
0,1,0,0,1,1,3,20.0,257.0,0
1,1,0,0,1,1,3,20.3,31.9,0
0,1,0,1,0,0,1,65.0,4523.3,0
0,1,0,0,1,1,1,19.4,847.3,0
1,1,0,0,1,1,3,20.9,62.9,0
0,1,2,1,0,2,0,76.2,4929.6,0
1,1,2,2,2,0,1,99.7,7181.3,0
1,1,2,1,0,0,0,53.9,3399.9,0
1,1,0,2,2,2,3,92.4,2602.9,1
1,1,2,2,2,2,2,96.4,1581.2,1
1,1,2,2,2,2,0,114.2,7723.9,1
1,1,0,2,0,0,0,81.5,3107.3,0
0,1,0,1,0,0,0,45.0,865.9,0
1,1,0,2,2,2,0,105.0,6236.8,0
0,1,2,2,0,2,1,90.4,4614.6,0
1,1,2,2,2,2,2,110.5,6139.5,0
0,1,2,2,2,2,1,105.0,7133.3,1
1,0,1,1,2,2,1,55.5,3166.9,0
1,1,0,1,0,0,0,59.1,4134.7,0
1,1,0,1,0,0,3,56.2,1439.4,0
1,1,0,1,0,0,2,48.6,48.6,0
1,1,0,0,1,1,3,20.0,109.2,0
1,0,1,1,0,0,0,25.1,190.0,0
0,1,0,2,0,0,2,69.7,560.9,1
0,1,0,1,0,2,3,69.5,1071.4,0
0,1,0,0,1,1,3,20.4,181.8,0
0,1,2,1,0,0,2,67.3,832.3,0
1,1,0,1,0,2,3,71.1,1837.7,0
1,1,0,2,0,2,2,81.1,2227.1,1
1,1,0,2,2,2,1,100.7,4917.8,0
0,0,1,1,2,2,2,44.9,2573.0,1
0,1,0,0,1,1,3,20.6,185.0,0
1,1,2,2,2,2,2,95.3,3314.2,0
0,1,2,2,2,2,2,101.3,4113.1,1
0,0,1,1,2,0,1,45.2,2460.6,0
0,1,0,2,0,2,1,85.1,999.8,0
0,1,0,1,0,2,3,55.3,238.5,0
0,1,0,2,2,2,0,103.2,7031.3,0
0,0,1,1,2,2,0,59.5,4144.8,0
1,1,0,2,0,0,2,74.9,74.9,1
0,1,2,2,2,2,0,103.3,6017.7,1
0,1,2,2,2,0,1,86.1,3865.6,0
1,1,0,2,2,0,2,78.9,292.8,1
1,1,0,1,0,0,3,59.3,3274.4,0
1,1,0,2,2,2,1,94.0,1505.5,0
1,1,2,2,0,2,2,89.6,2259.4,0
1,1,0,0,1,1,1,19.4,433.8,0
0,1,2,2,2,0,3,98.3,6066.6,0
1,0,1,1,2,2,2,50.0,810.2,1
1,1,2,2,2,2,1,97.7,6869.7,0
1,0,1,1,0,0,3,39.7,692.4,0
